sp,sex,index,FL,RW,CL,CW,BD
B,M,1,8.299999999999999,6.8,16.1,19.0,6.9
B,M,2,8.9,7.9,18.1,20.6,7.4
B,M,3,9.1,7.8999999999999995,19.0,22.599999999999998,7.9
B,M,4,9.5,7.800000000000001,20.200000000000003,23.3,7.999999999999999
B,M,5,10.0,7.9,20.5,22.8,8.399999999999999
B,M,6,10.9,9.2,22.9,26.3,9.700000000000001
B,M,7,11.0,10.1,23.6,27.0,9.9
B,M,8,11.7,9.0,24.4,28.2,10.6
B,M,9,11.700000000000001,9.799999999999999,24.2,27.6,9.5
B,M,10,11.700000000000001,10.7,25.2,29.3,10.200000000000001
B,M,11,12.2,10.700000000000001,27.2,31.700000000000003,11.0
B,M,12,12.5,11.1,26.900000000000002,31.5,11.200000000000001
B,M,13,12.5,9.8,27.5,31.7,11.6
B,M,14,12.600000000000001,10.0,27.0,31.6,10.8
B,M,15,13.0,10.700000000000001,27.4,31.3,11.1
B,M,16,12.9,10.8,26.7,30.799999999999997,11.200000000000001
B,M,17,13.0,10.7,28.0,32.4,10.8
B,M,18,13.0,10.700000000000001,28.2,32.3,11.0
B,M,19,13.3,10.9,28.0,32.3,11.5
B,M,20,13.700000000000001,11.0,29.3,33.099999999999994,12.2
B,M,21,14.100000000000001,11.7,31.5,35.4,12.6
B,M,22,14.4,11.4,32.0,36.199999999999996,13.6
B,M,23,14.9,11.1,31.2,36.4,13.399999999999999
B,M,24,14.9,11.5,32.4,36.8,13.4
B,M,25,15.0,12.1,32.5,37.2,13.5
B,M,26,15.299999999999999,12.299999999999999,32.199999999999996,36.7,13.6
B,M,27,15.5,11.700000000000001,33.0,37.3,13.5
B,M,28,15.5,12.4,36.0,40.3,14.5
B,M,29,16.1,12.5,34.0,39.1,14.2
B,M,30,16.3,11.799999999999999,34.0,38.8,14.6
B,M,31,16.0,12.600000000000001,34.9,40.6,15.5
B,M,32,16.0,13.3,35.9,41.900000000000006,15.6
B,M,33,16.2,12.899999999999999,35.4,40.9,14.700000000000001
B,M,34,16.599999999999998,12.8,35.6,42.0,15.1
B,M,35,16.8,13.4,37.9,43.199999999999996,14.9
B,M,36,16.6,12.8,36.1,41.699999999999996,14.700000000000001
B,M,37,16.9,13.2,37.4,42.800000000000004,15.5
B,M,38,17.3,12.6,36.3,42.1,15.1
B,M,39,17.200000000000003,12.899999999999999,36.800000000000004,41.9,15.7
B,M,40,17.0,13.4,37.5,43.9,16.1
B,M,41,17.5,13.799999999999999,38.6,44.4,15.8
B,M,42,17.7,14.2,39.5,44.800000000000004,16.900000000000002
B,M,43,18.1,13.7,39.400000000000006,44.5,16.099999999999998
B,M,44,18.8,15.8,41.9,49.1,18.0
B,M,45,19.400000000000002,13.5,41.7,47.4,17.900000000000002
B,M,46,19.400000000000002,14.0,41.0,46.7,17.0
B,M,47,19.9,15.3,41.9,48.7,17.7
B,M,48,19.8,14.0,43.300000000000004,49.900000000000006,18.5
B,M,49,20.0,14.100000000000001,42.4,48.9,18.1
B,M,50,21.400000000000002,15.799999999999999,46.9,54.4,20.2
B,F,1,7.0,6.6,14.5,17.200000000000003,5.8999999999999995
B,F,2,8.9,8.5,19.400000000000002,22.8,7.8
B,F,3,9.2,8.2,18.3,21.6,7.6000000000000005
B,F,4,8.9,8.1,19.2,22.0,7.7
B,F,5,9.7,7.999999999999999,19.8,22.599999999999998,8.0
B,F,6,10.0,8.8,20.2,24.0,9.0
B,F,7,10.1,9.5,20.9,24.4,8.200000000000001
B,F,8,10.200000000000001,9.4,21.2,24.8,8.8
B,F,9,10.4,9.899999999999999,21.599999999999998,25.299999999999997,8.100000000000001
B,F,10,11.0,9.5,22.7,26.5,9.0
B,F,11,11.2,9.600000000000001,22.6,25.7,7.999999999999999
B,F,12,11.2,10.2,22.6,26.9,9.5
B,F,13,11.4,11.0,24.5,29.4,10.1
B,F,14,11.799999999999999,10.9,24.8,28.4,10.200000000000001
B,F,15,11.7,11.6,23.9,27.9,10.0
B,F,16,11.799999999999999,10.6,24.799999999999997,28.3,10.200000000000001
B,F,17,12.0,11.4,26.1,30.1,10.8
B,F,18,12.0,10.6,24.6,28.799999999999997,10.5
B,F,19,12.0,11.299999999999999,25.4,29.0,11.1
B,F,20,12.6,12.0,26.3,31.8,11.0
B,F,21,12.700000000000001,11.899999999999999,27.0,31.2,12.1
B,F,22,12.600000000000001,12.399999999999999,26.9,31.0,11.2
B,F,23,13.0,12.399999999999999,28.099999999999998,32.1,11.5
B,F,24,13.0,11.5,27.1,31.8,11.4
B,F,25,13.299999999999999,11.4,27.6,32.6,11.299999999999999
B,F,26,13.0,12.0,28.0,32.300000000000004,11.7
B,F,27,13.200000000000001,11.700000000000001,28.5,32.7,11.799999999999999
B,F,28,13.899999999999999,12.5,28.8,33.8,12.0
B,F,29,13.9,13.0,30.1,34.9,13.1
B,F,30,14.899999999999999,12.3,29.900000000000002,34.7,12.4
B,F,31,14.700000000000001,13.0,29.900000000000002,35.7,12.1
B,F,32,15.2,13.8,31.5,37.1,13.8
B,F,33,14.8,14.399999999999999,32.599999999999994,37.4,13.8
B,F,34,15.1,13.5,32.0,36.199999999999996,13.5
B,F,35,14.9,13.3,32.1,37.0,13.9
B,F,36,15.2,13.600000000000001,31.7,36.6,13.0
B,F,37,15.0,14.4,33.699999999999996,38.3,14.5
B,F,38,15.200000000000001,14.2,32.800000000000004,38.099999999999994,13.600000000000001
B,F,39,15.5,13.100000000000001,32.3,37.800000000000004,13.600000000000001
B,F,40,15.3,13.600000000000001,33.5,38.7,14.7
B,F,41,15.6,14.0,32.8,37.8,13.4
B,F,42,15.5,14.899999999999999,33.9,39.4,14.3
B,F,43,15.899999999999999,13.9,33.4,38.6,14.1
B,F,44,15.700000000000001,14.9,34.6,40.3,15.5
B,F,45,16.0,15.399999999999999,34.3,40.0,13.700000000000001
B,F,46,16.4,14.0,34.300000000000004,39.699999999999996,15.299999999999999
B,F,47,16.599999999999998,16.200000000000003,36.4,41.8,15.4
B,F,48,17.2,16.9,38.0,44.1,16.5
B,F,49,17.3,16.7,38.800000000000004,44.5,16.9
B,F,50,19.4,16.4,40.699999999999996,48.1,18.0
O,M,1,9.2,6.9,16.9,18.5,7.300000000000001
O,M,2,10.399999999999999,8.299999999999999,20.099999999999998,22.2,9.2
O,M,3,10.5,8.5,20.8,22.7,9.2
O,M,4,11.6,9.2,22.599999999999998,24.900000000000002,9.9
O,M,5,12.3,9.6,23.099999999999998,26.2,10.600000000000001
O,M,6,12.4,9.200000000000001,24.3,27.0,11.299999999999999
O,M,7,12.7,10.4,26.2,28.8,11.9
O,M,8,13.1,11.2,27.1,30.2,12.0
O,M,9,13.6,9.9,26.5,29.6,12.2
O,M,10,13.5,11.2,27.5,30.6,12.1
O,M,11,13.9,11.5,29.099999999999998,32.300000000000004,13.299999999999999
O,M,12,14.2,10.4,29.0,32.0,13.3
O,M,13,14.0,10.5,29.3,31.400000000000002,13.1
O,M,14,13.9,10.6,28.7,32.1,13.5
O,M,15,14.0,10.4,28.599999999999998,31.8,12.700000000000001
O,M,16,14.2,10.899999999999999,27.8,30.9,12.6
O,M,17,14.1,11.3,29.0,32.1,13.7
O,M,18,14.6,11.4,30.0,33.6,12.8
O,M,19,14.6,11.2,29.0,32.2,13.0
O,M,20,14.9,11.5,30.4,33.199999999999996,14.2
O,M,21,15.1,11.4,30.9,34.0,14.0
O,M,22,15.4,11.299999999999999,30.099999999999998,33.6,13.4
O,M,23,15.5,12.299999999999999,31.599999999999998,34.300000000000004,14.1
O,M,24,16.3,11.8,32.5,35.5,14.7
O,M,25,16.400000000000002,11.6,31.400000000000002,34.1,14.4
O,M,26,17.0,12.6,34.8,38.699999999999996,15.5
O,M,27,17.599999999999998,12.700000000000001,36.300000000000004,39.4,16.0
O,M,28,17.6,11.9,34.4,37.4,15.5
O,M,29,17.6,12.6,34.7,38.4,16.3
O,M,30,17.8,12.6,36.1,40.0,16.7
O,M,31,18.0,12.9,37.1,41.0,16.3
O,M,32,17.9,13.6,36.900000000000006,41.3,16.900000000000002
O,M,33,18.099999999999998,13.5,38.699999999999996,42.7,17.099999999999998
O,M,34,18.5,13.6,37.9,42.400000000000006,17.5
O,M,35,18.700000000000003,13.4,37.9,42.0,17.5
O,M,36,18.5,13.5,37.0,40.300000000000004,16.9
O,M,37,18.7,13.4,37.1,41.0,17.4
O,M,38,18.7,13.600000000000001,39.400000000000006,43.199999999999996,17.9
O,M,39,19.299999999999997,14.0,39.0,43.300000000000004,18.0
O,M,40,19.5,14.200000000000001,39.599999999999994,44.199999999999996,17.7
O,M,41,20.1,13.799999999999999,40.800000000000004,44.6,17.8
O,M,42,20.8,14.6,42.8,46.4,19.400000000000002
O,M,43,21.1,15.2,42.8,47.1,19.5
O,M,44,21.7,15.6,45.7,49.900000000000006,21.099999999999998
O,M,45,21.6,15.4,45.6,49.6,20.400000000000002
O,M,46,21.5,14.700000000000001,43.3,48.400000000000006,19.900000000000002
O,M,47,21.7,15.5,45.4,51.2,21.200000000000003
O,M,48,22.3,15.600000000000001,44.7,49.800000000000004,20.6
O,M,49,22.9,16.8,47.1,51.9,21.3
O,M,50,23.0,15.7,47.6,53.0,21.700000000000003
O,F,1,10.899999999999999,9.799999999999999,21.299999999999997,23.9,9.9
O,F,2,11.200000000000001,9.299999999999999,21.8,24.3,9.6
O,F,3,12.4,10.0,23.900000000000002,27.2,11.0
O,F,4,12.799999999999999,11.7,25.2,28.1,11.6
O,F,5,13.0,11.2,25.900000000000002,28.900000000000002,11.700000000000001
O,F,6,14.2,11.8,26.8,31.2,12.6
O,F,7,14.0,12.9,28.6,32.5,12.799999999999999
O,F,8,14.4,12.2,28.1,31.6,12.4
O,F,9,14.899999999999999,13.399999999999999,29.6,33.199999999999996,12.9
O,F,10,14.9,12.8,30.1,33.6,13.4
O,F,11,15.0,12.3,30.200000000000003,33.099999999999994,13.8
O,F,12,15.7,13.7,31.4,35.0,14.1
O,F,13,15.6,13.9,31.400000000000002,35.3,13.8
O,F,14,15.4,14.299999999999999,31.1,34.4,13.700000000000001
O,F,15,15.899999999999999,13.4,31.1,34.9,13.600000000000001
O,F,16,15.900000000000002,13.7,31.400000000000002,36.1,14.0
O,F,17,16.3,13.899999999999999,31.2,35.9,13.700000000000001
O,F,18,16.099999999999998,14.2,31.5,35.4,13.5
O,F,19,16.5,14.4,32.4,36.8,14.799999999999999
O,F,20,17.200000000000003,14.5,33.300000000000004,37.0,14.5
O,F,21,17.7,14.200000000000001,34.7,39.5,15.4
O,F,22,17.6,14.6,34.4,39.0,16.2
