sp	sex	index	label
B	M	1	38
B	M	2	46
B	M	3	46
B	M	4	46
B	M	5	46
B	M	6	23
B	M	7	23
B	M	8	15
B	M	9	15
B	M	10	15
B	M	11	45
B	M	12	45
B	M	13	44
B	M	14	45
B	M	15	22
B	M	16	22
B	M	17	45
B	M	18	44
B	M	19	44
B	M	20	36
B	M	21	35
B	M	22	42
B	M	23	42
B	M	24	34
B	M	25	34
B	M	26	34
B	M	27	33
B	M	28	10
B	M	29	3
B	M	30	41
B	M	31	10
B	M	32	1
B	M	33	10
B	M	34	1
B	M	35	9
B	M	36	1
B	M	37	9
B	M	38	1
B	M	39	0
B	M	40	9
B	M	41	9
B	M	42	24
B	M	43	9
B	M	44	40
B	M	45	24
B	M	46	24
B	M	47	40
B	M	48	40
B	M	49	40
B	M	50	40
B	F	1	39
B	F	2	46
B	F	3	46
B	F	4	46
B	F	5	46
B	F	6	46
B	F	7	46
B	F	8	46
B	F	9	46
B	F	10	23
B	F	11	23
B	F	12	23
B	F	13	15
B	F	14	15
B	F	15	23
B	F	16	15
B	F	17	5
B	F	18	15
B	F	19	14
B	F	20	45
B	F	21	22
B	F	22	22
B	F	23	45
B	F	24	45
B	F	25	45
B	F	26	45
B	F	27	44
B	F	28	44
B	F	29	35
B	F	30	35
B	F	31	35
B	F	32	34
B	F	33	25
B	F	34	42
B	F	35	34
B	F	36	42
B	F	37	3
B	F	38	41
B	F	39	41
B	F	40	3
B	F	41	41
B	F	42	3
B	F	43	3
B	F	44	2
B	F	45	3
B	F	46	3
B	F	47	19
B	F	48	19
B	F	49	8
B	F	50	24
O	M	1	38
O	M	2	46
O	M	3	46
O	M	4	46
O	M	5	23
O	M	6	15
O	M	7	7
O	M	8	22
O	M	9	5
O	M	10	22
O	M	11	36
O	M	12	43
O	M	13	43
O	M	14	43
O	M	15	36
O	M	16	22
O	M	17	36
O	M	18	36
O	M	19	36
O	M	20	43
O	M	21	35
O	M	22	43
O	M	23	42
O	M	24	34
O	M	25	42
O	M	26	2
O	M	27	10
O	M	28	41
O	M	29	3
O	M	30	1
O	M	31	9
O	M	32	9
O	M	33	9
O	M	34	9
O	M	35	9
O	M	36	9
O	M	37	9
O	M	38	8
O	M	39	8
O	M	40	24
O	M	41	24
O	M	42	40
O	M	43	40
O	M	44	40
O	M	45	40
O	M	46	40
O	M	47	40
O	M	48	40
O	M	49	40
O	M	50	40
O	F	1	46
O	F	2	46
O	F	3	15
O	F	4	6
O	F	5	6
O	F	6	29
O	F	7	44
O	F	8	28
O	F	9	36
O	F	10	35
O	F	11	36
O	F	12	42
O	F	13	42
O	F	14	42
O	F	15	42
O	F	16	34
O	F	17	42
O	F	18	42
O	F	19	41
O	F	20	3
O	F	21	13
O	F	22	13
O	F	23	13
O	F	24	3
O	F	25	4
O	F	26	19
O	F	27	4
O	F	28	4
O	F	29	19
O	F	30	9
O	F	31	12
O	F	32	4
O	F	33	11
O	F	34	19
O	F	35	19
O	F	36	8
O	F	37	8
O	F	38	16
O	F	39	24
O	F	40	8
O	F	41	8
O	F	42	17
O	F	43	16
O	F	44	16
O	F	45	40
O	F	46	16
O	F	47	40
O	F	48	40
O	F	49	40
O	F	50	40
